Brand,Model,Company,1 stars,2 stars,4 stars,3 stars,5 stars,SSD,Colours,Operating system,Hard disk,Model Number,Processor,Graphics Processor,Dedicated Graphics,Finger Print Sensor,Resolution,Wi-Fi standards supported,Weight (kg),Dimensions (mm),Bluetooth version,Number of USB Ports,Series,Internal Mic,Touch Screen,Product Name,Touchpad,Battery Cell,Pointer Device,USB Ports,Cache,Mic In,Speakers,Multi Card Slot,RJ45 (LAN),HDMI Port,Ethernet,Price_Clean,RAM_GB,Screen_Size_inch,Base_Clock_Speed_GHz,Total_Ratings
Lenovo,ThinkPad E460,lenovo,0,0,0,0,0,0.0,Black,DOS,1TB,E460,Intel Core i5 6th Gen 6200U,AMD Radeon R7 M360,Unknown,1.0,1366x768 pixels,Unknown,1.9,221.00 x 339.00 x 239.00,4.1,3.0,ThinkPad,Yes,0.0,"Lenovo Thinkpad E460 Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 14 inch)",Unknown,Unknown,Unknown,3 x USB 3.0,Unknown,Unknown,Stereo Speakers,4 in 1 Card Reader,Unknown,Standard,Gigabit Ethernet,46800,4.0,14.0,2.16,
Asus,X X551MA-SX101D,asus,20,20,20,0,40,0.0,Black,DOS,500GB,X X551MA-SX101D,Intel Pentium Dual Core N3520,Intel Integrated HD Graphics,No,0.0,Unknown,802.11 b/g/n,2.15,380.00 x 251.00 x 30.90,4.0,1.0,X Series,Yes,0.0,"Asus X X551MA-SX101D Laptop (DOS, 2GB RAM, 500GB HDD, Intel Pentium, Black, 15.6 inch)",Unknown,Unknown,Unknown,1 x USB 3.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10/100,19990,2.0,15.6,2.16,5.0
Asus,Pro BU201LA-DT006P,asus,0,0,0,0,0,0.0,Black,Windows 8.1,500GB,Pro BU201LA-DT006P,Intel Core i5,Unknown,Unknown,1.0,1366x768 pixels,802.11 ac,1.4,210.00 x 30.00 x 30.00,4.2,3.0,Unknown,Unknown,1.0,"Asus Pro BU201LA-DT006P Laptop (Windows 8.1, 4GB RAM, 500GB HDD, Intel Core i5, Black, 12.5 inch)",Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,SD Card Reader,Yes,Standard,Unknown,59990,4.0,12.5,2.16,
Asus,L402WA-EB21,asus,0,0,0,0,0,0.0,Black,Windows 10,64GB,L402WA-EB21,Unknown,AMD Radeon R2,Unknown,0.0,1366x768 pixels,802.11 a/b/g/n/ac,1.63,337.82 x 236.22 x 22.80,4.0,3.0,Unknown,Yes,0.0,"Asus L402WA-EB21 Laptop (Windows 10, 4GB RAM, 64GB HDD, AMD Black, 14.0 Inch)",Unknown,2,Touchpad,Unknown,Unknown,Unknown,2 Speakers,SD Card Reader,Unknown,Unknown,Unknown,36329,4.0,14.0,1.5,
Dell,Latitude E5470,dell,100,0,0,0,0,0.0,Black,Windows 10,No,E5470,Intel Core i5 6th Gen 6300U,Intel HD Graphics,No,0.0,Unknown,802.11 ac,1.76,231.14 x 335.28 x 22.86,4.1,2.0,Latitude,Yes,0.0,"Dell Latitude E5470 Laptop (DOS, 8GB RAM, 500GB HDD, Intel Core i5, Black, 14 inch)",No,Unknown,Touchpad,Unknown,3MB,Unknown,Yes,Yes,Unknown,Unknown,Unknown,49999,8.0,14.0,3.0,
Lenovo,ThinkPad P51s,lenovo,0,0,0,0,0,0.0,Black,Windows 10 Professional,No,P51s,Intel Core i5 6th Gen 6500U,Unknown,Unknown,0.0,Unknown,802.11 a/b/g/n/ac,1.9,365.76 x 254.00 x 20.30,4.2,2.0,ThinkPad,Yes,0.0,"Lenovo Thinkpad P51S Laptop (8GB RAM, 500GB HDD, Intel Core i7, Black, 15.6 inch)",Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Stereo Speakers,SD Card Reader,Unknown,Unknown,Unknown,136794,8.0,15.6,2.5,
Dell,Inspiron 7000 E7470,dell,100,0,0,0,0,0.0,Black,Windows 10 Professional,No,E7470,Intel Core i5 6th Gen 6300U,Intel Integrated HD Graphics,No,0.0,1366x768 pixels,802.11 ac,1.42,194.00 x 334.90 x 23.20,4.1,3.0,Inspiron 7000,Unknown,0.0,"Dell Latitude E7470 Laptop (Windows 10, 8GB RAM, 512GB HDD, Intel Core i5, Black, 14 inch)",Unknown,3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,74999,8.0,14.0,2.4,
Lenovo,ThinkPad E480-20KN,lenovo,0,0,0,0,0,0.0,Black,Windows 10 Professional,No,E480-20KN,Intel Core i5,Unknown,Unknown,0.0,1920x1080 pixels,802.11 ac,1.75,241.00 x 33.00 x 23.00,4.2,3.0,ThinkPad,Unknown,0.0,"Lenovo Thinkpad E480-20KN Laptop (Windows 10 Pro, 8GB RAM, 256GB HDD, Intel Core i5, Black, 14.0 Inch)",Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,SD Card Reader,Yes,Standard,Unknown,107416,8.0,14.0,2.16,
HP,3VN32UA,hp,0,0,0,0,0,0.0,Silver,Windows 10,1TB,3VN32UA,Intel Core i5,Unknown,Unknown,0.0,1920x1080 pixels,802.11 n/ac,1.98,246.00 x 36.20 x 45.72,4.2,2.0,Unknown,Unknown,0.0,"HP 3VN32UA Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,SD Card Reader,Yes,Standard,Unknown,77888,8.0,15.6,2.16,
Lenovo,ThinkPad V130,lenovo,0,0,0,0,0,0.0,Onyx Black,DOS,1TB,V130,Intel Core i3,Unknown,Unknown,0.0,1920x1080 pixels,802.11 ac,2.7,232.00 x 33.70 x 48.51,4.2,2.0,ThinkPad,Unknown,0.0,"Lenovo Thinkpad V130 Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i3, Onyx Black, 14.0 Inch)",Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,SD Card Reader,Yes,Standard,Unknown,34990,4.0,14.0,2.16,
